r   Pr
5.495495495495497096e-01 3.430287943114694871e-01
5.555555555555553582e-01 3.418922941661292625e-01
5.615615615615614509e-01 3.407472677033628328e-01
5.675675675675675436e-01 3.395938259457552122e-01
5.735735735735736363e-01 3.384320804511939951e-01
5.795795795795797289e-01 3.372621432949887144e-01
5.855855855855853775e-01 3.360841270519578372e-01
5.915915915915914702e-01 3.348981447784867282e-01
5.975975975975975629e-01 3.337043099945626312e-01
6.036036036036036556e-01 3.325027366657880012e-01
6.096096096096097483e-01 3.312935391853777944e-01
6.156156156156153969e-01 3.300768323561447670e-01
6.216216216216214896e-01 3.288527313724751155e-01
6.276276276276275823e-01 3.276213518023009530e-01
6.336336336336336750e-01 3.263828095690705644e-01
6.396396396396397677e-01 3.251372209337232144e-01
6.456456456456454163e-01 3.238847024766700056e-01
6.516516516516515090e-01 3.226253710797858942e-01
6.576576576576576016e-01 3.213593439084171388e-01
6.636636636636636943e-01 3.200867383934065113e-01
6.696696696696697870e-01 3.188076722131413798e-01
6.756756756756754356e-01 3.175222632756279362e-01
6.816816816816815283e-01 3.162306297005949562e-01
6.876876876876876210e-01 3.149328898016324207e-01
6.936936936936937137e-01 3.136291620683663295e-01
6.996996996996998064e-01 3.123195651486752600e-01
7.057057057057054550e-01 3.110042178309518901e-01
7.117117117117115477e-01 3.096832390264122048e-01
7.177177177177176404e-01 3.083567477514581601e-01
7.237237237237237331e-01 3.070248631100943038e-01
7.297297297297298257e-01 3.056877042764054031e-01
7.357357357357359184e-01 3.043453904770949126e-01
7.417417417417415670e-01 3.029980409740918867e-01
7.477477477477476597e-01 3.016457750472252841e-01
7.537537537537537524e-01 0.000000000000000000e+00
7.597597597597598451e-01 0.000000000000000000e+00
7.657657657657659378e-01 0.000000000000000000e+00
7.717717717717715864e-01 0.000000000000000000e+00
7.777777777777776791e-01 0.000000000000000000e+00
7.837837837837837718e-01 0.000000000000000000e+00
7.897897897897898645e-01 0.000000000000000000e+00
7.957957957957959572e-01 0.000000000000000000e+00
8.018018018018016058e-01 0.000000000000000000e+00
8.078078078078076985e-01 0.000000000000000000e+00
8.138138138138137911e-01 0.000000000000000000e+00
8.198198198198198838e-01 0.000000000000000000e+00
8.258258258258259765e-01 0.000000000000000000e+00
8.318318318318316251e-01 0.000000000000000000e+00
8.378378378378377178e-01 0.000000000000000000e+00
8.438438438438438105e-01 0.000000000000000000e+00
8.498498498498499032e-01 0.000000000000000000e+00
8.558558558558559959e-01 0.000000000000000000e+00
8.618618618618616445e-01 0.000000000000000000e+00
8.678678678678677372e-01 0.000000000000000000e+00
8.738738738738738299e-01 0.000000000000000000e+00
8.798798798798799226e-01 0.000000000000000000e+00
8.858858858858860152e-01 0.000000000000000000e+00
8.918918918918916638e-01 0.000000000000000000e+00
8.978978978978977565e-01 0.000000000000000000e+00
9.039039039039038492e-01 0.000000000000000000e+00
9.099099099099099419e-01 0.000000000000000000e+00
9.159159159159160346e-01 0.000000000000000000e+00
9.219219219219216832e-01 0.000000000000000000e+00
9.279279279279277759e-01 0.000000000000000000e+00
9.339339339339338686e-01 0.000000000000000000e+00
9.399399399399399613e-01 0.000000000000000000e+00
9.459459459459460540e-01 0.000000000000000000e+00
9.519519519519517026e-01 0.000000000000000000e+00
9.579579579579577953e-01 0.000000000000000000e+00
9.639639639639638879e-01 0.000000000000000000e+00
9.699699699699699806e-01 0.000000000000000000e+00
9.759759759759760733e-01 0.000000000000000000e+00
9.819819819819821660e-01 0.000000000000000000e+00
9.879879879879878146e-01 0.000000000000000000e+00
9.939939939939939073e-01 0.000000000000000000e+00
1.000000000000000000e+00 2.419707245191433653e-01
1.006006006006005649e+00 2.405174643423344805e-01
1.012012012012012185e+00 2.390643086409529883e-01
1.018018018018017834e+00 2.376113613019741888e-01
1.024024024024024371e+00 2.361587255603731783e-01
1.030030030030030019e+00 2.347065039882395010e-01
1.036036036036035668e+00 2.332547984840736277e-01
1.042042042042042205e+00 2.318037102622727552e-01
1.048048048048047853e+00 2.303533398428039836e-01
1.054054054054054390e+00 2.289037870410648712e-01
1.060060060060060039e+00 2.274551509579365582e-01
1.066066066066065687e+00 2.260075299700248230e-01
1.072072072072072224e+00 2.245610217200950109e-01
1.078078078078077873e+00 2.231157231076997538e-01
1.084084084084084409e+00 2.216717302799978973e-01
1.090090090090090058e+00 2.202291386227704928e-01
1.096096096096095707e+00 2.187880427516289417e-01
1.102102102102102243e+00 2.173485365034207029e-01
1.108108108108107892e+00 2.159107129278306225e-01
1.114114114114114429e+00 2.144746642791772462e-01
1.120120120120120077e+00 2.130404820084093043e-01
1.126126126126125726e+00 2.116082567552963201e-01
1.132132132132132263e+00 2.101780783408193909e-01
1.138138138138137911e+00 2.087500357597602552e-01
1.144144144144144448e+00 2.073242171734862582e-01
1.150150150150150097e+00 2.059007099029378784e-01
1.156156156156155745e+00 2.044796004218113195e-01
1.162162162162162282e+00 2.030609743499424136e-01
1.168168168168167931e+00 2.016449164468895605e-01
1.174174174174174468e+00 2.002315106057135641e-01
1.180180180180180116e+00 1.988208398469595295e-01
1.186186186186185765e+00 1.974129863128345763e-01
1.192192192192192302e+00 1.960080312615864462e-01
1.198198198198197950e+00 1.946060550620806739e-01
1.204204204204204487e+00 1.932071371885738242e-01
1.210210210210210136e+00 1.918113562156881780e-01
1.216216216216215784e+00 1.904187898135808188e-01
1.222222222222222321e+00 1.890295147433122269e-01
1.228228228228227970e+00 1.876436068524118261e-01
1.234234234234234506e+00 1.862611410706376258e-01
1.240240240240240155e+00 1.848821914059353422e-01
1.246246246246245803e+00 1.835068309405893661e-01
1.252252252252252340e+00 0.000000000000000000e+00
1.258258258258257989e+00 0.000000000000000000e+00
1.264264264264264526e+00 0.000000000000000000e+00
1.270270270270270174e+00 0.000000000000000000e+00
1.276276276276275823e+00 0.000000000000000000e+00
1.282282282282282360e+00 0.000000000000000000e+00
1.288288288288288008e+00 0.000000000000000000e+00
1.294294294294294545e+00 0.000000000000000000e+00
1.300300300300300194e+00 0.000000000000000000e+00
1.306306306306305842e+00 0.000000000000000000e+00
1.312312312312312379e+00 0.000000000000000000e+00
1.318318318318318028e+00 0.000000000000000000e+00
1.324324324324324564e+00 0.000000000000000000e+00
1.330330330330330213e+00 0.000000000000000000e+00
1.336336336336335862e+00 0.000000000000000000e+00
1.342342342342342398e+00 0.000000000000000000e+00
1.348348348348348047e+00 0.000000000000000000e+00
1.354354354354354584e+00 0.000000000000000000e+00
1.360360360360360232e+00 0.000000000000000000e+00
1.366366366366366769e+00 0.000000000000000000e+00
1.372372372372372418e+00 0.000000000000000000e+00
1.378378378378378066e+00 0.000000000000000000e+00
1.384384384384384603e+00 0.000000000000000000e+00
1.390390390390390252e+00 0.000000000000000000e+00
1.396396396396396788e+00 0.000000000000000000e+00
1.402402402402402437e+00 0.000000000000000000e+00
1.408408408408408086e+00 0.000000000000000000e+00
1.414414414414414622e+00 0.000000000000000000e+00
1.420420420420420271e+00 0.000000000000000000e+00
1.426426426426426808e+00 0.000000000000000000e+00
1.432432432432432456e+00 0.000000000000000000e+00
1.438438438438438105e+00 0.000000000000000000e+00
1.444444444444444642e+00 0.000000000000000000e+00
1.450450450450450290e+00 0.000000000000000000e+00
1.456456456456456827e+00 0.000000000000000000e+00
1.462462462462462476e+00 0.000000000000000000e+00
1.468468468468468124e+00 0.000000000000000000e+00
1.474474474474474661e+00 0.000000000000000000e+00
1.480480480480480310e+00 0.000000000000000000e+00
1.486486486486486847e+00 0.000000000000000000e+00
1.492492492492492495e+00 0.000000000000000000e+00
1.498498498498498144e+00 0.000000000000000000e+00
1.504504504504504681e+00 1.286441214741737005e-01
1.510510510510510329e+00 1.274846218771700790e-01
1.516516516516516866e+00 1.263310160133409021e-01
1.522522522522522515e+00 1.251833333983511654e-01
1.528528528528528163e+00 1.240416026421849310e-01
1.534534534534534700e+00 1.229058514532647278e-01
1.540540540540540349e+00 1.217761066426945871e-01
1.546546546546546885e+00 1.206523941286243296e-01
1.552552552552552534e+00 1.195347389407364347e-01
1.558558558558558182e+00 1.184231652248485533e-01
1.564564564564564719e+00 1.173176962476337043e-01
1.570570570570570368e+00 1.162183544014547265e-01
1.576576576576576905e+00 1.151251612093088933e-01
1.582582582582582553e+00 1.140381373298846451e-01
1.588588588588588202e+00 1.129573025627237104e-01
1.594594594594594739e+00 1.118826758534904875e-01
1.600600600600600387e+00 1.108142752993446639e-01
1.606606606606606924e+00 1.097521181544135749e-01
1.612612612612612573e+00 1.086962208353662168e-01
1.618618618618618221e+00 1.076465989270817686e-01
1.624624624624624758e+00 1.066032671884145772e-01
1.630630630630630407e+00 1.055662395580519164e-01
1.636636636636636943e+00 1.045355291604604248e-01
1.642642642642642592e+00 1.035111483119238035e-01
1.648648648648648241e+00 1.024931085266638370e-01
1.654654654654654777e+00 1.014814205230473859e-01
1.660660660660660426e+00 1.004760942298751347e-01
1.666666666666666963e+00 9.947713879274865112e-02
1.672672672672672611e+00 9.848456258051710432e-02
1.678678678678678260e+00 9.749837319179743833e-02
1.684684684684684797e+00 9.651857746156909668e-02
1.690690690690690445e+00 9.554518146783995414e-02
1.696696696696696982e+00 9.457819053837963896e-02
1.702702702702702631e+00 9.361760925752210527e-02
1.708708708708708279e+00 9.266344147303054446e-02
1.714714714714714816e+00 9.171569030302627323e-02
1.720720720720720465e+00 9.077435814297812877e-02
1.726726726726727001e+00 8.983944667274885998e-02
1.732732732732732650e+00 8.891095686369952789e-02
1.738738738738738299e+00 8.798888898584628082e-02
1.744744744744744835e+00 8.707324261507014274e-02
1.750750750750750484e+00 0.000000000000000000e+00
1.756756756756757021e+00 0.000000000000000000e+00
1.762762762762762669e+00 0.000000000000000000e+00
1.768768768768768318e+00 0.000000000000000000e+00
1.774774774774774855e+00 0.000000000000000000e+00
1.780780780780780503e+00 0.000000000000000000e+00
1.786786786786787040e+00 0.000000000000000000e+00
1.792792792792792689e+00 0.000000000000000000e+00
1.798798798798798337e+00 0.000000000000000000e+00
1.804804804804804874e+00 0.000000000000000000e+00
1.810810810810810523e+00 0.000000000000000000e+00
1.816816816816817060e+00 0.000000000000000000e+00
1.822822822822822708e+00 0.000000000000000000e+00
1.828828828828828357e+00 0.000000000000000000e+00
1.834834834834834894e+00 0.000000000000000000e+00
1.840840840840840542e+00 0.000000000000000000e+00
1.846846846846847079e+00 0.000000000000000000e+00
1.852852852852852727e+00 0.000000000000000000e+00
1.858858858858858376e+00 0.000000000000000000e+00
1.864864864864864913e+00 0.000000000000000000e+00
1.870870870870870561e+00 0.000000000000000000e+00
1.876876876876877098e+00 0.000000000000000000e+00
1.882882882882882747e+00 0.000000000000000000e+00
1.888888888888889284e+00 0.000000000000000000e+00
1.894894894894894932e+00 0.000000000000000000e+00
1.900900900900900581e+00 0.000000000000000000e+00
1.906906906906907118e+00 0.000000000000000000e+00
1.912912912912912766e+00 0.000000000000000000e+00
1.918918918918919303e+00 0.000000000000000000e+00
1.924924924924924952e+00 0.000000000000000000e+00
1.930930930930930600e+00 0.000000000000000000e+00
1.936936936936937137e+00 0.000000000000000000e+00
1.942942942942942786e+00 0.000000000000000000e+00
1.948948948948949322e+00 0.000000000000000000e+00
1.954954954954954971e+00 0.000000000000000000e+00
1.960960960960960620e+00 0.000000000000000000e+00
1.966966966966967156e+00 0.000000000000000000e+00
1.972972972972972805e+00 0.000000000000000000e+00
1.978978978978979342e+00 0.000000000000000000e+00
1.984984984984984990e+00 0.000000000000000000e+00
1.990990990990990639e+00 0.000000000000000000e+00
1.996996996996997176e+00 0.000000000000000000e+00
2.003003003003002824e+00 5.366742629374122303e-02
2.009009009009009361e+00 5.302471611482758446e-02
2.015015015015015010e+00 5.238781312931592438e-02
2.021021021021020658e+00 5.175669325656116065e-02
2.027027027027027195e+00 5.113133208354540826e-02
2.033033033033032844e+00 5.051170487238344775e-02
2.039039039039039380e+00 4.989778656779506050e-02
2.045045045045045029e+00 4.928955180454512586e-02
2.051051051051050678e+00 4.868697491484763606e-02
2.057057057057057214e+00 4.809002993573484319e-02
2.063063063063062863e+00 4.749869061638907486e-02
2.069069069069069400e+00 4.691293042543585867e-02
2.075075075075075048e+00 4.633272255819890356e-02
2.081081081081080697e+00 4.575803994391335061e-02
2.087087087087087234e+00 4.518885525289872279e-02
2.093093093093092882e+00 4.462514090368920744e-02
2.099099099099099419e+00 4.406686907011989063e-02
2.105105105105105068e+00 4.351401168836958877e-02
2.111111111111110716e+00 4.296654046395724513e-02
2.117117117117117253e+00 4.242442687869271006e-02
2.123123123123122902e+00 4.188764219758039919e-02
2.129129129129129439e+00 4.135615747567393530e-02
2.135135135135135087e+00 4.082994356488300197e-02
2.141141141141140736e+00 4.030897112072923116e-02
2.147147147147147273e+00 3.979321060905222085e-02
2.153153153153152921e+00 3.928263231266407307e-02
2.159159159159159458e+00 3.877720633795087024e-02
2.165165165165165106e+00 3.827690262142250527e-02
2.171171171171170755e+00 3.778169093620744462e-02
2.177177177177177292e+00 3.729154089849405496e-02
2.183183183183182940e+00 3.680642197391664067e-02
2.189189189189189477e+00 3.632630348388512370e-02
2.195195195195195126e+00 3.585115461185935798e-02
2.201201201201200774e+00 3.538094440956540687e-02
2.207207207207207311e+00 3.491564180315481075e-02
2.213213213213212960e+00 3.445521559930594946e-02
2.219219219219219497e+00 3.399963449126561232e-02
2.225225225225225145e+00 3.354886706483271169e-02
2.231231231231230794e+00 3.310288180428096888e-02
2.237237237237237331e+00 3.266164709822220319e-02
2.243243243243242979e+00 3.222513124540882234e-02
2.249249249249249516e+00 3.179330246047458453e-02
2.255255255255255165e+00 0.000000000000000000e+00
2.261261261261260813e+00 0.000000000000000000e+00
2.267267267267267350e+00 0.000000000000000000e+00
2.273273273273272999e+00 0.000000000000000000e+00
2.279279279279279535e+00 0.000000000000000000e+00
2.285285285285285184e+00 0.000000000000000000e+00
2.291291291291290833e+00 0.000000000000000000e+00
2.297297297297297369e+00 0.000000000000000000e+00
2.303303303303303018e+00 0.000000000000000000e+00
2.309309309309309555e+00 0.000000000000000000e+00
2.315315315315315203e+00 0.000000000000000000e+00
2.321321321321320852e+00 0.000000000000000000e+00
2.327327327327327389e+00 0.000000000000000000e+00
2.333333333333333037e+00 0.000000000000000000e+00
2.339339339339339574e+00 0.000000000000000000e+00
2.345345345345345223e+00 0.000000000000000000e+00
2.351351351351350871e+00 0.000000000000000000e+00
2.357357357357357408e+00 0.000000000000000000e+00
2.363363363363363057e+00 0.000000000000000000e+00
2.369369369369369593e+00 0.000000000000000000e+00
2.375375375375375242e+00 0.000000000000000000e+00
2.381381381381380891e+00 0.000000000000000000e+00
2.387387387387387427e+00 0.000000000000000000e+00
2.393393393393393076e+00 0.000000000000000000e+00
2.399399399399399613e+00 0.000000000000000000e+00
2.405405405405405261e+00 0.000000000000000000e+00
2.411411411411411798e+00 0.000000000000000000e+00
2.417417417417417447e+00 0.000000000000000000e+00
2.423423423423423095e+00 0.000000000000000000e+00
2.429429429429429632e+00 0.000000000000000000e+00
2.435435435435435281e+00 0.000000000000000000e+00
2.441441441441441818e+00 0.000000000000000000e+00
2.447447447447447466e+00 0.000000000000000000e+00
2.453453453453453115e+00 0.000000000000000000e+00
2.459459459459459651e+00 0.000000000000000000e+00
2.465465465465465300e+00 0.000000000000000000e+00
2.471471471471471837e+00 0.000000000000000000e+00
2.477477477477477485e+00 0.000000000000000000e+00
2.483483483483483134e+00 0.000000000000000000e+00
2.489489489489489671e+00 0.000000000000000000e+00
2.495495495495495319e+00 0.000000000000000000e+00
2.501501501501501856e+00 1.746260722334903870e-02
2.507507507507507505e+00 1.720189918874711482e-02
2.513513513513513153e+00 1.694447216148943502e-02
2.519519519519519690e+00 1.669029547375982039e-02
2.525525525525525339e+00 1.643933856813704908e-02
2.531531531531531876e+00 1.619157100031447596e-02
2.537537537537537524e+00 1.594696244175904110e-02
2.543543543543543173e+00 1.570548268230904931e-02
2.549549549549549710e+00 1.546710163271187641e-02
2.555555555555555358e+00 1.523178932710168854e-02
2.561561561561561895e+00 1.499951592541711592e-02
2.567567567567567544e+00 1.477025171576026169e-02
2.573573573573573192e+00 1.454396711669624434e-02
2.579579579579579729e+00 1.432063267949469296e-02
2.585585585585585378e+00 1.410021909031317251e-02
2.591591591591591914e+00 1.388269717232260003e-02
2.597597597597597563e+00 1.366803788777603938e-02
2.603603603603603212e+00 1.345621234002017733e-02
2.609609609609609748e+00 1.324719177545083913e-02
2.615615615615615397e+00 1.304094758541261140e-02
2.621621621621621934e+00 1.283745130804275596e-02
2.627627627627627582e+00 1.263667463006062572e-02
2.633633633633633231e+00 1.243858938850217824e-02
2.639639639639639768e+00 1.224316757240075972e-02
2.645645645645645416e+00 1.205038132441437794e-02
2.651651651651651953e+00 1.186020294239970192e-02
2.657657657657657602e+00 1.167260488093389836e-02
2.663663663663663250e+00 1.148755975278405866e-02
2.669669669669669787e+00 1.130504033032537006e-02
2.675675675675675436e+00 1.112501954690827549e-02
2.681681681681681972e+00 1.094747049817486155e-02
2.687687687687687621e+00 1.077236644332567155e-02
2.693693693693693270e+00 1.059968080633665391e-02
2.699699699699699806e+00 1.042938717712748285e-02
2.705705705705705455e+00 1.026145931268144899e-02
2.711711711711711992e+00 1.009587113811723051e-02
2.717717717717717640e+00 9.932596747713769506e-03
2.723723723723723289e+00 9.771610405887939596e-03
2.729729729729729826e+00 9.612886548126279782e-03
2.735735735735735474e+00 9.456399781870978433e-03
2.741741741741742011e+00 9.302124887360554983e-03
2.747747747747747660e+00 9.150036818426238519e-03
2.753753753753753308e+00 9.000110703244051935e-03
2.759759759759759845e+00 8.852321845043573112e-03
2.765765765765765494e+00 8.706645722773827603e-03
2.771771771771772030e+00 8.563057991726621618e-03
2.777777777777777679e+00 8.421534484118352662e-03
2.783783783783783328e+00 8.282051209630337738e-03
2.789789789789789864e+00 8.144584355908637482e-03
2.795795795795795513e+00 8.009110289023809934e-03
2.801801801801802050e+00 7.875605553890921776e-03
2.807807807807807698e+00 7.744046874650881325e-03
2.813813813813813347e+00 7.614411155013076776e-03
2.819819819819819884e+00 7.486675478560393497e-03
2.825825825825825532e+00 7.360817109016937372e-03
2.831831831831832069e+00 7.236813490478874455e-03
2.837837837837837718e+00 7.114642247609438176e-03
2.843843843843843366e+00 6.994281185798032104e-03
2.849849849849849903e+00 6.875708291284598345e-03
2.855855855855855552e+00 6.758901731249442393e-03
2.861861861861862089e+00 6.643839853869097298e-03
2.867867867867867737e+00 6.530501188339067620e-03
2.873873873873873386e+00 6.418864444863590230e-03
2.879879879879879923e+00 6.308908514613384248e-03
2.885885885885885571e+00 6.200612469651714531e-03
2.891891891891892108e+00 6.093955562829278701e-03
2.897897897897897757e+00 5.988917227648742590e-03
2.903903903903904293e+00 5.885477078099119255e-03
2.909909909909909942e+00 5.783614908460922230e-03
2.915915915915915591e+00 5.683310693082236145e-03
2.921921921921922127e+00 5.584544586126641459e-03
2.927927927927927776e+00 5.487296921293291670e-03
2.933933933933934313e+00 5.391548211509685114e-03
2.939939939939939961e+00 5.297279148597901569e-03
2.945945945945945610e+00 5.204470602914451974e-03
2.951951951951952147e+00 5.113103622964719659e-03
2.957957957957957795e+00 5.023159434992195173e-03
2.963963963963964332e+00 4.934619442543078903e-03
2.969969969969969981e+00 4.847465226007026048e-03
2.975975975975975629e+00 4.761678542134137153e-03
2.981981981981982166e+00 4.677241323529122280e-03
2.987987987987987815e+00 4.594135678122931131e-03
2.993993993993994351e+00 4.512343888622296663e-03
3.000000000000000000e+00 4.431848411938007527e-03
